category,service_tier,model,unit,input_usd_per_1M,cached_input_usd_per_1M,output_usd_per_1M,training_usd,price_usd,quality,resolution_or_variant,notes
text_tokens,batch,gpt-5.2,USD_per_1M_tokens,0.875,0.0875,7.0,,,,,
text_tokens,batch,gpt-5.1,USD_per_1M_tokens,0.625,0.0625,5.0,,,,,
text_tokens,batch,gpt-5,USD_per_1M_tokens,0.625,0.0625,5.0,,,,,
text_tokens,batch,gpt-5-mini,USD_per_1M_tokens,0.125,0.0125,1.0,,,,,
text_tokens,batch,gpt-5-nano,USD_per_1M_tokens,0.025,0.0025,0.2,,,,,
text_tokens,batch,gpt-5.2-pro,USD_per_1M_tokens,10.5,,84.0,,,,,
text_tokens,batch,gpt-5-pro,USD_per_1M_tokens,7.5,,60.0,,,,,
text_tokens,batch,gpt-4.1,USD_per_1M_tokens,1.0,,4.0,,,,,
text_tokens,batch,gpt-4.1-mini,USD_per_1M_tokens,0.2,,0.8,,,,,
text_tokens,batch,gpt-4.1-nano,USD_per_1M_tokens,0.05,,0.2,,,,,
text_tokens,batch,gpt-4o,USD_per_1M_tokens,1.25,,5.0,,,,,
text_tokens,batch,gpt-4o-2024-05-13,USD_per_1M_tokens,2.5,,7.5,,,,,
text_tokens,batch,gpt-4o-mini,USD_per_1M_tokens,0.075,,0.3,,,,,
text_tokens,batch,o1,USD_per_1M_tokens,7.5,,30.0,,,,,
text_tokens,batch,o1-pro,USD_per_1M_tokens,75.0,,300.0,,,,,
text_tokens,batch,o3-pro,USD_per_1M_tokens,10.0,,40.0,,,,,
text_tokens,batch,o3,USD_per_1M_tokens,1.0,,4.0,,,,,
text_tokens,batch,o3-deep-research,USD_per_1M_tokens,5.0,,20.0,,,,,
text_tokens,batch,o4-mini,USD_per_1M_tokens,0.55,,2.2,,,,,
text_tokens,batch,o4-mini-deep-research,USD_per_1M_tokens,1.0,,4.0,,,,,
text_tokens,batch,o3-mini,USD_per_1M_tokens,0.55,,2.2,,,,,
text_tokens,flex,gpt-5.2,USD_per_1M_tokens,0.875,0.0875,7.0,,,,,
text_tokens,flex,gpt-5.1,USD_per_1M_tokens,0.625,0.0625,5.0,,,,,
text_tokens,flex,gpt-5,USD_per_1M_tokens,0.625,0.0625,5.0,,,,,
text_tokens,flex,gpt-5-mini,USD_per_1M_tokens,0.125,0.0125,1.0,,,,,
text_tokens,flex,gpt-5-nano,USD_per_1M_tokens,0.025,0.0025,0.2,,,,,
text_tokens,flex,o3,USD_per_1M_tokens,1.0,0.25,4.0,,,,,
text_tokens,flex,o4-mini,USD_per_1M_tokens,0.55,0.138,2.2,,,,,
text_tokens,standard,gpt-5.2,USD_per_1M_tokens,1.75,0.175,14.0,,,,,
text_tokens,standard,gpt-5.1,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5-mini,USD_per_1M_tokens,0.25,0.025,2.0,,,,,
text_tokens,standard,gpt-5-nano,USD_per_1M_tokens,0.05,0.005,0.4,,,,,
text_tokens,standard,gpt-5.2-chat-latest,USD_per_1M_tokens,1.75,0.175,14.0,,,,,
text_tokens,standard,gpt-5.1-chat-latest,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5-chat-latest,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5.2-codex,USD_per_1M_tokens,1.75,0.175,14.0,,,,,
text_tokens,standard,gpt-5.1-codex-max,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5.1-codex,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5-codex,USD_per_1M_tokens,1.25,0.125,10.0,,,,,
text_tokens,standard,gpt-5.2-pro,USD_per_1M_tokens,21.0,,168.0,,,,,
text_tokens,standard,gpt-5-pro,USD_per_1M_tokens,15.0,,120.0,,,,,
text_tokens,standard,gpt-4.1,USD_per_1M_tokens,2.0,0.5,8.0,,,,,
text_tokens,standard,gpt-4.1-mini,USD_per_1M_tokens,0.4,0.1,1.6,,,,,
text_tokens,standard,gpt-4.1-nano,USD_per_1M_tokens,0.1,0.025,0.4,,,,,
text_tokens,standard,gpt-4o,USD_per_1M_tokens,2.5,1.25,10.0,,,,,
text_tokens,standard,gpt-4o-2024-05-13,USD_per_1M_tokens,5.0,,15.0,,,,,
text_tokens,standard,gpt-4o-mini,USD_per_1M_tokens,0.15,0.075,0.6,,,,,
text_tokens,standard,gpt-realtime,USD_per_1M_tokens,4.0,0.4,16.0,,,,,
text_tokens,standard,gpt-realtime-mini,USD_per_1M_tokens,0.6,0.06,2.4,,,,,
text_tokens,standard,gpt-4o-realtime-preview,USD_per_1M_tokens,5.0,2.5,20.0,,,,,
text_tokens,standard,gpt-4o-mini-realtime-preview,USD_per_1M_tokens,0.6,0.3,2.4,,,,,
text_tokens,standard,gpt-audio,USD_per_1M_tokens,2.5,,10.0,,,,,
text_tokens,standard,gpt-audio-mini,USD_per_1M_tokens,0.6,,2.4,,,,,
